,accommodation_id,accommodation_name,airbnb_account_id,accommodation_link,channel_name,local_status,publishment_status,alert,sync_alert,rejection_alert,warning_alert,review_count,review_value,cleanliness_value,location_value,truthfulness_value,checkin_value,communication_value
42,360582,NSC808 (Zona3),592964680,airbnb.com.br/rooms/1234800951406153545,airbnb,True,error,3,,True,,12,4.2,4.4,4.9,4.3,4.3,4.3
43,363599,BI701 (Zona2),1381764,airbnb.com.br/rooms/53862622,airbnb,True,active,0,,False,,27,4.6,4.4,5,4.7,4.6,4.7
44,363701,RD1003 (Zona4),592964680,airbnb.com.br/rooms/1234867441569845664,airbnb,True,active,0,,False,,7,4.7,5,5,5,5,5
45,365584,LC2207 (Barra),573192722,airbnb.com.br/rooms/1410160335464843228,airbnb,True,error,2,,True,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,374387,STC905 (Zona3),592964680,airbnb.com.br/rooms/1234830590133673737,airbnb,True,active,2,,False,,8,4.4,4.6,4.6,4.4,4.3,4.4
47,379238,NSC1104 (Zona3),66039372,airbnb.com.br/rooms/569522076904144948,airbnb,True,active,0,,False,,38,4.6,4.7,5.0,4.7,4.7,4.7
48,379462,JC509 (Zona2),573192868,airbnb.com.br/rooms/1173358891159727636,airbnb,True,active,0,,False,,18,4.8,4.9,4.4,4.7,4.9,5
49,383851,R201 (Zona1),1381764,airbnb.com.br/rooms/624725101116450867,airbnb,True,active,1,,False,,36,4.6,4.9,4.9,4.8,4.4,4.6
50,386559,A303 (Zona2),66039372,airbnb.com.br/rooms/624755215649155697,airbnb,True,active,1,,False,,19,4.4,4.7,5,4.4,4.7,4.5
51,386938,MVC205 (Zona4),573192868,airbnb.com.br/rooms/1152156883812572581,airbnb,True,active,1,,False,,14,4.2,4.5,4.5,4.3,4.4,4.2
52,391791,RE406 (Zona1),66039372,airbnb.com.br/rooms/655014684626449148,airbnb,True,active,0,,False,,51,4.7,4.6,4.9,4.8,4.5,4.5
53,391829,NSC1203 (Zona2),1381764,airbnb.com.br/rooms/655286210670267265,airbnb,True,active,0,,False,,55,4.7,4.5,4.8,4.7,4.9,4.6
54,394400,JAC1 (Zona1),592964680,airbnb.com.br/rooms/1253727288148010875,airbnb,True,active,1,,False,,5,3.6,3.4,4.8,3.2,4.4,4.4
55,394401,NSC1109 (Zona3),592964680,airbnb.com.br/rooms/1302919122811211337,airbnb,True,error,1,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,400221,NSC401 (Zona3),573192868,airbnb.com.br/rooms/1153066208298368859,airbnb,True,active,0,,False,,20,4.7,4.8,4.8,4.7,4.8,4.8
57,400413,LC201 (Barra),592964680,airbnb.com.br/rooms/1410322480842676771,airbnb,True,active,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,400414,DF115 (Zona3),1381764,airbnb.com.br/rooms/700062313845342958,airbnb,True,active,0,,False,,70,4.6,4.5,4.8,4.8,4.8,4.6
59,400628,J804 (Zona1),573192868,airbnb.com.br/rooms/1152999201031527883,airbnb,True,active,0,,False,,10,4.5,4.9,5,4.9,4.7,4.8
60,406118,VA202 (Zona1),1381764,airbnb.com.br/rooms/755811147378735839,airbnb,True,active,0,,False,,44,4.7,4.8,4.8,4.8,4.6,4.7
61,406452,J303 (Zona1),1381764,airbnb.com.br/rooms/750054865782930633,airbnb,True,active,0,,False,,42,4.7,4.8,4.9,4.9,4.5,4.5
62,407540,JN301 (Zona2),N/A,N/A,airbnb,False,error,0,,False,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63,409670,AM203 (Barra),1381764,airbnb.com.br/rooms/771069864193194667,airbnb,True,active,1,,False,,47,4.6,4.9,4.7,4.7,4.7,4.6
64,409675,VP101A (Zona1),1381764,airbnb.com.br/rooms/778365372077249089,airbnb,True,active,0,,False,,30,4.4,4.6,5,4.5,4.3,4.4
65,411478,BI204 (Zona2),1381764,airbnb.com.br/rooms/791144558592410891,airbnb,True,active,1,,False,,31,4.4,4.6,4.6,4.3,4.6,4.3
66,415550,A801 (Zona2),1381764,airbnb.com.br/rooms/858764840348607673,airbnb,True,active,0,,False,,37,4.7,4.6,4.9,4.7,4.6,4.6
67,417268,BR1307 (Zona3),1381764,airbnb.com.br/rooms/827560345266832669,airbnb,True,active,1,,False,,43,4.7,4.8,4.7,4.7,4.7,4.7
68,417453,A1103 (Zona2),573192868,airbnb.com.br/rooms/1153005361529963093,airbnb,True,active,2,,False,,28,4.4,4.8,5,4.6,4.6,4.5
69,419958,NSC605 (Zona3),66039372,airbnb.com.br/rooms/852252021314929608,airbnb,True,active,0,,False,,31,4.8,4.9,4.7,4.9,4.7,4.7
70,419963,AP102 (Zona1),592964680,airbnb.com.br/rooms/1234850353713040146,airbnb,True,active,0,,False,,17,4.8,4.8,5,4.9,4.9,4.9
71,421623,FA202 (Zona1),1381764,airbnb.com.br/rooms/902977559602534227,airbnb,True,active,0,,False,,19,4.5,4.7,5.0,4.8,4.5,4.4
72,424997,STC303 (Zona3),573192868,airbnb.com.br/rooms/1153042967290712180,airbnb,True,active,0,,False,,14,4.6,4.9,4.9,4.8,4.9,4.9
